fips,region_id,county_name,adequacy_ratio,deficit_severity,contention_ratio,concentration,net_summer_gen_mw,inbound_thermal_sum,import_proxy_raw,import_proxy,peak_base,existing_load_adj,peak_adj,deliverable,queue_mw_active,contention,operating_dc_load_mw,import_cap_binding,frac_lines_lookup,frac_plants_county_fallback,frac_thermal_status_unknown,n_boundary_lines,n_op_plants,n_operating_dc
51085,efd1a9a7-dea9-4fe3-8679-40ddb4fc5d6d,Hanover,3.0412017465349077,3.0412017465349077,0.17974369985294975,0.03777476327646379,1214.0,9075,4537.5,171.41073665005223,329.87147330010447,12.95,342.82147330010446,1042.589263349948,474.0,61.620000000000005,12.95,True,1.0,0.0,0.0027548209366391185,18,10,1
51087,87bab1d0-5e18-4a8c-88d7-82a36d6740fa,Henrico,0.0,-0.1408848604638698,0.002523511791334969,0.05990331701900113,370.0,9355,4677.5,515.1551121987363,968.5912243974726,61.719,1030.3102243974727,0.0,20.0,2.6,61.719,True,1.0,0.0,0.002672367717797969,27,21,7
51089,ce68208e-d206-4662-8d9a-8b74bc8795e7,Henry,0.214468325928542,0.214468325928542,0.16104668016209026,0.0,93.2,3400,1700.0,65.22332524599659,130.44665049199318,0.0,130.44665049199318,27.976674754003398,161.6,21.008,0.0,True,1.0,0.0,0.0,15,6,0
51091,bd6f4ad6-8e0f-43bf-9645-c3715af757b3,Highland,0.4374565622825321,0.4374565622825321,0.0,0.0,6.0,1525,762.5,3.2001482742790333,6.4002965485580665,0.0,6.4002965485580665,2.799851725720967,0.0,0.0,0.0,True,1.0,0.0,0.0,2,10,0
51093,a53840f7-3652-4b2b-a211-fb99efb1c55a,Isle of Wight,1.4763644244547514,1.4763644244547514,0.4425086845753956,0.0,315.1,11060,5530.0,79.71707952771192,159.43415905542383,0.0,159.43415905542383,235.3829204722881,542.7,70.551,0.0,True,1.0,0.0,0.0,16,5,0
51095,b5bb1fa6-d536-4c34-98ce-48a963a88deb,James City,0.0,-0.3326422146933322,0.0,0.0,39.9,6740,3370.0,119.20568836067864,238.41137672135727,0.0,238.41137672135727,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,19,2,0
51097,856fd33d-1a0e-44f0-b7ae-34d0db549d62,King and Queen,0.05637985015252584,0.05637985015252584,2.4448536105377316,0.0,10.8,1625,812.5,9.705599508177094,19.41119901635419,0.0,19.41119901635419,1.0944004918229062,365.058,47.45754,0.0,True,1.0,0.0,0.0,5,36,0
51099,74c27a94-d8e0-4519-92ce-678102567e41,King George,0.0,-0.363319599949848,1.048338668384666,0.0,11.3,800,400.0,41.337309503973145,82.67461900794629,0.0,82.67461900794629,0.0,666.7,86.671,0.0,True,1.0,0.0,0.0,2,4,0
51101,24b7fee3-9296-45b4-8d25-ddc10e1d5d55,King William,0.32147955933086597,0.32147955933086597,0.0627193123870074,0.0,126.0,2120,1060.0,76.69089179932423,153.38178359864847,0.0,153.38178359864847,49.30910820067575,74.0,9.620000000000001,0.0,True,1.0,0.0,0.0,6,6,0
51103,e8a66811-ca62-4a89-96be-15a6cf7dd644,Lancaster,0.0,-0.29764542683882206,1.4214194637133784,0.0,6.5,240,120.0,16.06091697967871,32.12183395935742,0.0,32.12183395935742,0.0,351.22,45.65860000000001,0.0,True,1.0,0.0,0.0,2,2,0
